train_losses_dice,train_losses_dice_hd,valid_losses_dice,valid_losses_dice_hd
0.014737651,0.011142988,0.14114648,0.09462874
0.011619791,0.010797432,0.13767797,0.09640875
0.010212079,0.014912721,0.13224357,0.09428845
0.01616408,0.011363026,0.1406979,0.09659806
0.0155430585,0.011032693,0.14029062,0.09582159
0.012194619,0.014914178,0.12974161,0.09575661
0.013629556,0.011458006,0.1372959,0.09669132
0.009606823,0.010005161,0.13492936,0.09428516
0.01058583,0.014276401,0.13460547,0.09616289
0.011766911,0.010714499,0.13621807,0.09440536
0.0092347115,0.009639708,0.13503361,0.09523235
0.010496214,0.014069862,0.13777477,0.095721126
0.011044189,0.010461677,0.13810718,0.0942426
0.008171514,0.009509804,0.13518268,0.09656862
0.012267247,0.012993424,0.14102072,0.093601346
0.008237883,0.010010752,0.13679767,0.09590333
0.009560257,0.00949434,0.13785756,0.095704325
0.010820821,0.014662184,0.14197224,0.094461136
0.0075891614,0.010529878,0.13528907,0.09763053
0.009371743,0.009316125,0.1398732,0.09429653
0.009541854,0.013658136,0.1401887,0.096349284
0.007851034,0.009677774,0.13691086,0.097985044
0.007927299,0.00988435,0.13864464,0.0925676
0.009793073,0.014137059,0.14084142,0.09982992
0.007726103,0.009720463,0.13848364,0.0951734
0.0068404227,0.010570677,0.13619846,0.0967508
0.00921984,0.0135615235,0.13966423,0.09753559
0.031370223,0.010046628,0.1550551,0.09741893
0.018839002,0.010144247,0.12851363,0.09660731
0.019445822,0.012236132,0.14344865,0.09585201
0.010778055,0.009969576,0.13063782,0.09739335
0.010034591,0.008926347,0.13162738,0.09620955
0.0097301155,0.010400178,0.1367423,0.094768256
0.008453146,0.00972199,0.13876885,0.09579322
0.008928016,0.009011116,0.13730967,0.09613979
0.007820755,0.01128047,0.13605708,0.09433112
0.008075103,0.008921988,0.13805062,0.096434176
0.0073313713,0.0094498815,0.13766056,0.09437702
0.0075678825,0.011344137,0.13743293,0.09431341
0.0074625313,0.008355997,0.13735217,0.095759705
0.0074337423,0.011602041,0.13902855,0.092729926
0.00719741,0.00944221,0.13855195,0.09655849
0.0067714155,0.008155772,0.13809025,0.09420455
0.007153958,0.015609659,0.13922274,0.09377321
0.006839037,0.009066749,0.13900512,0.09705703
0.006814018,0.008877057,0.13934368,0.09573538
0.006686732,0.012046588,0.13938642,0.09401987
0.0064679235,0.008067201,0.1390999,0.09571826
0.0066465586,0.0074431305,0.13974786,0.09618514
0.0063527226,0.011084751,0.1395039,0.09546158
0.0062693805,0.009520015,0.13940549,0.09495802
0.006584719,0.008090871,0.14031142,0.09609985
0.006100297,0.008299118,0.13976705,0.09376362
0.00589177,0.0068286755,0.13947672,0.09594519
0.0064463466,0.008311263,0.14084601,0.09283701
0.006204605,0.0073076226,0.14088035,0.09478713
0.0053280145,0.0064467574,0.13883114,0.09503155
0.0059944093,0.008249731,0.14063525,0.09357717
0.008026034,0.0065889973,0.14443767,0.09440766
0.005138725,0.006656889,0.13928938,0.09422415
0.0052895397,0.008277397,0.13438326,0.09445059
0.009515762,0.0065210974,0.14596248,0.094765574
0.014906794,0.0065075355,0.15208101,0.094229825
0.015394747,0.008356785,0.13134915,0.09465311
0.007949084,0.0066915723,0.13695389,0.09512075
0.008264735,0.0064993184,0.14208871,0.09480263
0.0061899126,0.008019211,0.1319071,0.09471994
0.010719314,0.0069568176,0.14215618,0.09565937
0.005293116,0.006989257,0.13485825,0.09473499
0.0095118135,0.007333397,0.14179248,0.09446834
0.00499855,0.006456973,0.13632208,0.096200556
0.007329464,0.00897764,0.13891375,0.09461195
0.005420685,0.0070376447,0.13856846,0.095345534
0.007006407,0.0058437013,0.14122003,0.09535912
0.0049737245,0.010438165,0.1382832,0.09448924
0.0052833706,0.00680319,0.13927782,0.09591417
0.005362168,0.005772721,0.13965017,0.09339036
