,time_step_dice,time_step_dice_hd
295,180368000,1324487900
296,32313879200,20946356600
297,476518200,1217822500
298,183075000,1210667300
299,180905600,1265346700
300,19822117700,20839270700
301,402109600,1192557900
302,181155100,1219624900
303,178958400,1288950400
304,19690860100,21031830900
305,523958600,1241871900
306,184820100,1240285500
307,178665000,1277227800
308,19888374100,21115359100
309,380699000,1239115700
310,181501500,1304266300
311,179330800,1277125100
312,19832368300,21065652200
313,514890800,1213385800
314,186231800,1221235100
315,178372700,1255484300
316,19828448000,21112331800
317,437976300,1206029200
318,181463600,1308950600
319,181442600,1301417700
320,19868921400,21105128300
321,434414500,1231295000
322,182460200,1211275300
323,179322800,1287551100
324,19863769600,23380402900
325,499851200,1231923800
326,180779800,1304447300
327,179244100,1267347800
328,19915990700,21152398400
329,468919600,1201455700
330,180903100,1221026000
331,178253800,1280953600
332,19977641100,21828665300
333,425061600,1560907100
334,182061300,1491684200
335,180123100,1443805300
336,19760144200,21090812400
337,398719400,1220796000
338,181288600,1262406500
339,177874700,1265480300
340,19756760200,21116400700
341,391589500,1330943200
342,179915000,1309329200
343,179888200,1260180500
344,20850624600,20955537500
345,508635400,1268255000
346,184903500,1284552700
347,179016300,1279423500
348,19828327300,20858514300
349,394944700,1242014100
350,180100900,1318575900
351,178775900,1317417200
352,19905754000,21059100900
353,390879400,1234957100
354,180473500,1257431700
355,179280000,1313197000
356,43630243600,20927168700
357,500933800,1213160800
358,187274600,1284028300
359,177481700,1278354800
360,43367912500,21048118300
361,476632900,1215403300
362,183343900,1191938200
363,178716800,1288901100
364,20610211200,21064905100
365,501629300,1227596800
366,183569900,1432003600
367,178270700,1649389600
368,19702004200,21125634100
369,516397600,1256709000
370,185267700,1231860900
371,178566600,1283588800
372,19827161700,20931468800
373,429948500,1212843700
374,182474200,1252204400
375,179936900,1293379400
376,20067615000,21089313000
377,479822600,1250819000
378,179278300,1201095700
379,181279500,1271749500
380,20220397900,21052397100
381,515905300,1234764100
382,185246800,1283083500
383,178862300,1259765500
384,25122548900,21088684900
385,500782000,1210695300
386,182153700,1230214300
387,179317000,1296879900
388,20013406500,20938238100
389,395726700,1236487600
390,181229000,1247399000
391,179478100,1281292600
392,19909968600,21275231800
393,479049000,1225280600
394,182705400,1254136100
395,179064500,1292551300
396,19985718700,21825838200
397,384523300,1431977600
398,181012600,1445750800
399,179444400,1345687600
400,20001498300,21439512200
401,438527200,1206747800
402,182545900,1309670900
403,179219100,1349722100
404,20096236800,21105985400
405,480312900,1231656300
406,183007600,1224516400
407,179062300,1300285500
408,20232881400,23152767900
409,447227900,1230378300
410,182218200,1223311300
411,179382100,1365978600
412,20018984100,21085376900
413,376444200,1211171600
414,181537600,1221855900
415,178080900,1361354800
416,19995200600,22353600600
417,387344900,1292950600
418,181438200,1278670600
419,179546100,1276238600
420,20001336100,21193184600
421,523960500,1251053700
422,184422200,1195510900
423,177960700,1292620200
424,20112479400,21188926700
425,500899000,1257538400
426,182446700,1205387200
427,177640800,1261781200
428,19818339800,21106122600
429,516669500,1247128400
430,184843900,1223528700
431,180744800,1264515500
432,19760818900,21089231300
433,373811100,1232815800
434,181421400,1186291300
435,179420800,1370784000
436,20122495100,21056887000
437,356107000,1241545700
438,180270300,1235548500
439,179551700,1292711000
440,19772313600,21080893500
441,394473000,1218046400
442,180556000,1208408300
443,179984700,1279586400
444,19795027900,21637623400
445,478582400,1282992000
446,181194300,1257184100
447,180104500,1266779400
448,19917244900,25014044300
449,427641900,1683404100
450,182549100,1454466900
451,179753700,1378853100
452,19931347700,21305408000
453,373706400,1319738500
454,180937000,1292479200
455,179488300,1277698200
456,19720301200,21995923600
457,375830000,1572537700
458,181560800,1446749300
459,178777600,1506212100
460,19834230400,21231934700
461,477340400,1256127200
462,181077300,1242395600
463,180272600,1200030100
464,19890496700,21264358800
