,train_metric_epoch_hd,valid_metric_epoch_hd,all_metric_epoch_hd,train_hd_metric_epoch_dice_hd,valid_hd_metric_epoch_dice_hd,all_hd_metric_epoch_dice_hd
112,4.775588112158594,11.188561748940668,6.058182839515009,4.619896754031753,11.047066103474462,5.905330623920295
113,3.8908941414365033,10.9088883202972,5.294492977208643,3.484125127016723,11.983058149905528,5.183911731594484
114,3.097557338644793,10.646151147911938,4.607276100498223,3.8712699975644003,6.774194303817046,4.451854858814929
115,6.502316396191382,12.694564173305421,7.740765951614191,3.334054103929773,6.0068122384857405,3.8686057308409665
116,4.887420748810267,10.760342868815734,6.06200517281136,3.168328753761251,11.556493151083956,4.845961633225793
117,2.6821754695825506,11.125313822547113,4.370803140175463,2.969201585447292,12.077147081955456,4.7907906847489246
118,2.971007489775088,10.523611971251736,4.481528386070417,3.00304640521059,10.99795153488047,4.602027431144566
119,3.0770310501276392,10.763229627043176,4.614270765510747,3.998854620166643,5.7766788921914225,4.354419474571599
120,2.8755145562051463,10.447054014041539,4.389822447772425,3.01309533863591,11.631512553936734,4.736778781696074
121,3.3012920360012163,10.628937053986064,4.766821039598186,3.210155972264336,11.779893814483012,4.924103540708072
122,2.681387904583206,11.624079172250605,4.469926158116686,3.707651305301592,6.020911493554301,4.170303342952134
123,2.770135826959123,10.473089436519924,4.310726548871283,3.089239804643747,11.398180755906255,4.751027994896249
124,3.8602621058178777,10.834769901453429,5.2551636649449875,2.940480609406671,11.731506229044534,4.698685733334243
125,3.0059566412227237,11.558090646314449,4.716383442241069,3.094097555106295,11.398180755906255,4.754914195266286
126,2.7528782615357383,10.423271225952321,4.286956854419055,2.856894932879659,11.336116104220885,4.552739167147903
127,3.3211192902248943,11.198954494475378,4.896686331074991,2.5576648836372433,12.008574584572466,4.447846823824288
128,2.6009017867311273,10.919751232484298,4.264671675881762,3.114458486660164,11.585587827569753,4.8086843548420815
129,3.06044407111726,8.156898381347556,4.079734933163319,2.9165679196257646,11.766265480361774,4.6865074317729665
130,2.636167993035993,11.210242234628762,4.350982841354546,2.734141804974469,11.637745891185496,4.514862622216674
131,2.6291187646651313,10.257677184287326,4.1548304485895695,2.7473707499289506,11.51090216012782,4.500077031968725
132,3.31116970019592,10.667585654152267,4.782452890987189,2.4176991774164613,12.067703668830378,4.347700075699245
133,2.3849516493508904,10.614916970071368,4.0309447134949865,3.0956741188185477,11.411418346242716,4.7588229643033815
134,2.7000479305302316,10.482219555433076,4.256482255510801,3.1477339671820554,11.518989930835264,4.821985159912697
135,2.7743301378940104,10.910767658393269,4.4016176419938615,2.884336996964275,12.041622568824462,4.715794111336312
136,2.81059524484155,10.672296003887153,4.38293539665067,2.5433251926678815,11.297578661968108,4.294175886527927
137,2.3018287285967403,10.89941741330254,4.0213464655379,2.811727646662638,11.545203287589967,4.558422774848104
138,4.174923291599896,14.024506550589543,6.144839943397825,2.684494092525939,11.773932638430587,4.502381801706869
139,2.5709770047422347,10.214746424782312,4.0997308887502495,2.5882852318556746,11.476871111370905,4.366002407758721
140,2.6287146135527735,11.27038779714906,4.357049250272031,2.5259197267313303,11.336116104220885,4.2879590022292415
141,6.263107857635075,18.065744592955717,8.623635204699204,2.6017506860403152,11.803916559979907,4.442183860828234
142,2.337533919418122,10.438610822770295,3.957749300088557,2.4542596038733837,11.70004475271632,4.303416633641971
143,3.104062776130476,8.939659346829563,4.271182090270294,2.2808091732983167,11.409065121096042,4.106460362857861
144,4.1738020211162885,10.998411095250605,5.538723835943152,2.6082285629523083,11.689049042645362,4.424392658890919
145,2.138026585469098,10.642261576427225,3.8388735836607237,2.5617469443841006,11.338573513150967,4.317112258137474
